TiP	tissue	pex_interactor
TMEM60	liver	MFF, CYB5R3
TMEM60	parathyroid gland	MFF, CYB5R3
PAQR8	amygdala	EHHADH
PAQR8	cerebral cortex	EHHADH
PAQR8	spinal cord	EHHADH
PAQR8	midbrain	EHHADH
PAQR8	hippocampal formation	EHHADH
PAQR8	basal ganglia	EHHADH
SHISAL1	amygdala	MFF
SHISAL1	cerebral cortex	MFF
SHISAL1	smooth muscle	MFF
SHISAL1	endometrium	MFF
SHANK3	cerebral cortex	VIM
SHANK3	cerebellum	VIM
SHANK3	hippocampal formation	VIM
SHANK3	skeletal muscle	VIM
RHPN2	stomach	RHOA
ZCRB1	amygdala	PEX1
ZCRB1	spinal cord	PEX1
ZCRB1	midbrain	PEX1
ZCRB1	skeletal muscle	PEX1
SELENOI	cerebral cortex	ACSL5
SELENOI	small intestine	ACSL5
SELENOI	skin	ACSL5
SELENOI	liver	ACSL5
SELENOI	parathyroid gland	ACSL5
ARHGAP11B	bone marrow	RHOA
IFT20	testis	PEX1
IFT20	bone marrow	PEX1
IFT20	pituitary gland	PEX1
IFT20	pancreas	PEX1
BMF	bone marrow	PEX26
BMF	thymus	PEX26
SCRN2	adipose tissue	PEX5
SCRN2	kidney	PEX5
STARD13	colon	HMGCR
STARD13	placenta	HMGCR
SEC11C	epididymis	VAPA, MFF
SEC11C	salivary gland	VAPA, MFF
SEC11C	pancreas	VAPA, MFF
CEP95	retina	SOD1
CEP95	bone marrow	SOD1
TRIM41	amygdala	EHHADH
TRIM41	cerebral cortex	EHHADH
TRIM41	spinal cord	EHHADH
TRIM41	midbrain	EHHADH
TRIM41	hippocampal formation	EHHADH
TRIM41	hypothalamus	EHHADH
TRIM41	basal ganglia	EHHADH
TRIM41	skeletal muscle	EHHADH
CREB3L1	stomach	PEX16
CREB3L1	salivary gland	PEX16
CREB3L1	pancreas	PEX16
DPP9	liver	PRDX1
DPP9	skeletal muscle	PRDX1
DERL3	testis	EHHADH
DERL3	stomach	EHHADH
DERL3	small intestine	EHHADH
DERL3	colon	EHHADH
DERL3	salivary gland	EHHADH
DERL3	pancreas	EHHADH
DERL3	spleen	EHHADH
TMEM88	heart muscle	MFF
TMEM88	adipose tissue	MFF
MOB1B	bone marrow	SOD1
MOB1B	thymus	SOD1
MOB1B	kidney	SOD1
REEP6	duodenum	EHHADH, STING1
REEP6	retina	EHHADH, STING1
REEP6	testis	EHHADH, STING1
REEP6	small intestine	EHHADH, STING1
REEP6	liver	EHHADH, STING1
REEP6	adrenal gland	EHHADH, STING1
HNRNPLL	retina	SOD1
HNRNPLL	testis	SOD1
HNRNPLL	bone marrow	SOD1
HNRNPLL	thymus	SOD1
MMGT1	thyroid gland	FIS1, PEX16, MFF
MMGT1	bone marrow	FIS1, PEX16, MFF
SYCE1	testis	LONP2, MPV17
SYCE1	cerebellum	LONP2, MPV17
HTRA3	ovary	VIM
ORMDL1	epididymis	TMEM35A, EHHADH
ORMDL1	spleen	TMEM35A, EHHADH
SYTL4	smooth muscle	TRIM37
SYTL4	cervix	TRIM37
SYTL4	ovary	TRIM37
SYTL4	fallopian tube	TRIM37
SYTL4	pituitary gland	TRIM37
SYTL4	endometrium	TRIM37
STX1B	amygdala	ACBD5
STX1B	cerebral cortex	ACBD5
STX1B	cerebellum	ACBD5
STX1B	midbrain	ACBD5
STX1B	hippocampal formation	ACBD5
STX1B	hypothalamus	ACBD5
STX1B	basal ganglia	ACBD5
NACC1	amygdala	EHHADH
NACC1	cerebral cortex	EHHADH
MED8	retina	PEX14
MED8	esophagus	PEX14
MED8	skin	PEX14
MED8	pituitary gland	PEX14
MED8	liver	PEX14
GOLM2	thyroid gland	PDIA6
GOLM2	adrenal gland	PDIA6
GOLM2	parathyroid gland	PDIA6
TMEM106A	smooth muscle	ARF1
TMEM106A	appendix	ARF1
TMEM106A	spleen	ARF1
TMEM106A	kidney	ARF1
TMEM106A	placenta	ARF1
SFT2D1	spinal cord	EHHADH
TMEM54	small intestine	PEX19
TMEM54	colon	PEX19
TMEM54	esophagus	PEX19
RHPN1	thyroid gland	PEX1, TRIM37
RHPN1	amygdala	PEX1, TRIM37
RHPN1	cerebral cortex	PEX1, TRIM37
RHPN1	hippocampal formation	PEX1, TRIM37
RHPN1	pituitary gland	PEX1, TRIM37
RHPN1	hypothalamus	PEX1, TRIM37
RHPN1	basal ganglia	PEX1, TRIM37
RHPN1	kidney	PEX1, TRIM37
OSBPL1A	spinal cord	VAPB, VAPA
OSBPL1A	tongue	VAPB, VAPA
OSBPL1A	choroid plexus	VAPB, VAPA
OSBPL9	retina	VAPA
OSBPL9	parathyroid gland	VAPA
KCTD12	fallopian tube	DNM1L
KCTD12	adipose tissue	DNM1L
KCTD12	placenta	DNM1L
DDIT4L	cervix	PMVK
DDIT4L	tongue	PMVK
DDIT4L	prostate	PMVK
DDIT4L	salivary gland	PMVK
DDIT4L	basal ganglia	PMVK
DDIT4L	skeletal muscle	PMVK
DDIT4L	kidney	PMVK
ARHGEF25	cerebellum	RHOA
ARHGEF25	colon	RHOA
CTHRC1	gallbladder	VAPA
CTHRC1	adipose tissue	VAPA
CTHRC1	urinary bladder	VAPA
FAM210B	bone marrow	FIS1, MFF, CYB5R3
FAM210B	tongue	FIS1, MFF, CYB5R3
FAM210B	ovary	FIS1, MFF, CYB5R3
FAM210B	liver	FIS1, MFF, CYB5R3
FAM210B	skeletal muscle	FIS1, MFF, CYB5R3
FAM210B	adrenal gland	FIS1, MFF, CYB5R3
CMTM5	spinal cord	TMEM35A, MFF, STING1
CMTM5	midbrain	TMEM35A, MFF, STING1
CMTM5	hippocampal formation	TMEM35A, MFF, STING1
ZMYND19	retina	HACL1
ZMYND19	testis	HACL1
ZMYND19	skin	HACL1
COX20	retina	TMEM35A
ARAP2	bone marrow	RHOA
ARAP2	thymus	RHOA
AGAP2	amygdala	RHOA
AGAP2	cerebral cortex	RHOA
AGAP2	cerebellum	RHOA
AGAP2	hippocampal formation	RHOA
AGAP2	hypothalamus	RHOA
AGAP2	basal ganglia	RHOA
THEM4	retina	VIM
THEM4	skeletal muscle	VIM
DCD	skin	DNM1L
SSX2IP	duodenum	EHHADH, TRIM37
SSX2IP	retina	EHHADH, TRIM37
SSX2IP	testis	EHHADH, TRIM37
SSX2IP	cerebral cortex	EHHADH, TRIM37
SSX2IP	cerebellum	EHHADH, TRIM37
SSX2IP	epididymis	EHHADH, TRIM37
SSX2IP	small intestine	EHHADH, TRIM37
EXOSC6	cerebral cortex	SOD1
EXOSC6	cerebellum	SOD1
EXOSC6	basal ganglia	SOD1
SNX20	thymus	VIM
HEXIM2	testis	CCDC33
MIEF2	heart muscle	DNM1L
MIEF2	skeletal muscle	DNM1L
MAB21L3	retina	EHHADH
MAB21L3	bone marrow	EHHADH
MAB21L3	esophagus	EHHADH
MAB21L3	skin	EHHADH
C1orf216	amygdala	VIM
C1orf216	retina	VIM
C1orf216	cerebral cortex	VIM
C1orf216	midbrain	VIM
C1orf216	hippocampal formation	VIM
C1orf216	hypothalamus	VIM
C1orf216	basal ganglia	VIM
ARHGEF19	esophagus	RHOA
ARHGEF19	salivary gland	RHOA
ARHGEF19	skin	RHOA
SGSM1	cerebellum	SOD1
SGSM1	hypothalamus	SOD1
FAM131A	amygdala	IDH1
FAM131A	cerebral cortex	IDH1
FAM131A	cerebellum	IDH1
FAM131A	hippocampal formation	IDH1
FAM131A	pituitary gland	IDH1
FAM131A	basal ganglia	IDH1
C6orf141	basal ganglia	SOD1
COL26A1	cerebral cortex	FAR1
MTPN	cerebral cortex	SOD1
MTPN	bone marrow	SOD1
MTPN	tonsil	SOD1
MTPN	esophagus	SOD1
SPMIP4	testis	PHYH
SPMIP4	colon	PHYH
SPMIP4	adrenal gland	PHYH
DIPK1B	cerebral cortex	VIM
DIPK1B	cerebellum	VIM
FUNDC1	salivary gland	EHHADH
NEK7	spinal cord	IDH1, MAVS
NEK7	tongue	IDH1, MAVS
NEK7	heart muscle	IDH1, MAVS
NEK7	adipose tissue	IDH1, MAVS
NEK7	skeletal muscle	IDH1, MAVS
NEK7	adrenal gland	IDH1, MAVS
SRXN1	heart muscle	PRDX1
SRXN1	esophagus	PRDX1
SRXN1	liver	PRDX1
SRXN1	skeletal muscle	PRDX1
SRXN1	adrenal gland	PRDX1
RIPOR3	bone marrow	RHOA
RIPOR3	cervix	RHOA
RIPOR3	fallopian tube	RHOA
RIPOR3	kidney	RHOA
CWF19L2	ovary	TRIM37, VIM
CWF19L2	choroid plexus	TRIM37, VIM
DNHD1	testis	PDIA6
DNHD1	cerebellum	PDIA6
GLIPR1L2	testis	VIM
GLIPR1L2	spinal cord	VIM
HNRNPA1L2	retina	DNM1L
HNRNPA1L2	bone marrow	DNM1L
HNRNPA1L2	ovary	DNM1L
HNRNPA1L2	lymph node	DNM1L
HNRNPA1L2	thymus	DNM1L
HNRNPA1L2	choroid plexus	DNM1L
MIPOL1	testis	CCDC33
CEP128	testis	VIM
CEP128	thymus	VIM
C16orf92	retina	TMEM35A
PROCA1	testis	VIM
ZNF417	retina	TRIM37
ZNF417	epididymis	TRIM37
ZNF417	skin	TRIM37
KLC3	esophagus	PEX26
KLC3	skin	PEX26
KLC3	vagina	PEX26
KASH5	testis	FIS1
FAM163A	pituitary gland	VIM
CLDN19	kidney	MFF
C2CD6	testis	VIM
RMDN2	testis	VAPB, VAPA
RMDN2	small intestine	VAPB, VAPA
RMDN2	adrenal gland	VAPB, VAPA
RMDN2	seminal vesicle	VAPB, VAPA
ZMAT2	cerebral cortex	TRIM37, PEX26, SOD1
ZMAT2	basal ganglia	TRIM37, PEX26, SOD1
ZMAT2	skeletal muscle	TRIM37, PEX26, SOD1
ZMAT2	choroid plexus	TRIM37, PEX26, SOD1
RAET1L	esophagus	MFF
CFAP206	testis	CCDC33
CFAP206	fallopian tube	CCDC33
ANKRD46	skeletal muscle	MFF
PRUNE2	cerebellum	HSPD1, VIM
PABIR3	retina	ABCD3
PABIR3	testis	ABCD3
PABIR3	bone marrow	ABCD3
PABIR3	ovary	ABCD3
PABIR3	choroid plexus	ABCD3
TMEM229B	cerebellum	TMEM35A, VAPA, MFF, ACBD5
ADAL	retina	VIM
ADAL	skeletal muscle	VIM
RETREG3	testis	VAPB, VAPA, MFF, ACSL5
RETREG3	skin	VAPB, VAPA, MFF, ACSL5
RETREG3	pancreas	VAPB, VAPA, MFF, ACSL5
RETREG3	liver	VAPB, VAPA, MFF, ACSL5
SASS6	retina	PEX26
SASS6	testis	PEX26
SASS6	bone marrow	PEX26
ZNF366	placenta	PEX1
TXLNB	ovary	VIM
TXLNB	skeletal muscle	VIM
TXLNB	thymus	VIM
SPIN3	cerebellum	VIM
TCEANC	bone marrow	CCDC33, TRIM37
PSORS1C2	skin	PEX19
SDR16C5	esophagus	EHHADH
SDR16C5	skin	EHHADH
DZIP1L	fallopian tube	TRIM37
TMEM201	tongue	TMEM35A, MFF, CYB5R3
TMEM201	pituitary gland	TMEM35A, MFF, CYB5R3
TMEM201	skeletal muscle	TMEM35A, MFF, CYB5R3
FAM209A	testis	FIS1, MFF
TMEM17	hypothalamus	EHHADH
TMEM17	choroid plexus	EHHADH
KCTD6	retina	EHHADH
KCTD6	epididymis	EHHADH
TUBB	smooth muscle	SOD1
TUBB	bone marrow	SOD1
TUBB	tonsil	SOD1
TUBB	ovary	SOD1
TUBB	lymph node	SOD1
TUBB	thymus	SOD1
TMEM31	testis	EHHADH, CYB5R3
ENKUR	fallopian tube	SOD1
CYB561A3	tonsil	EHHADH, AOC1
CYB561A3	skin	EHHADH, AOC1
CYB561A3	spleen	EHHADH, AOC1
CYB561A3	lymph node	EHHADH, AOC1
CYB561A3	adrenal gland	EHHADH, AOC1
ZNG1E	cerebellum	PEX26
ZNG1E	liver	PEX26
ARMC12	testis	EHHADH
ARMC12	epididymis	EHHADH
ARMC12	pituitary gland	EHHADH
ARMC12	choroid plexus	EHHADH
ZBTB9	testis	EHHADH
ZBTB9	pituitary gland	EHHADH
LNX2	pancreas	SOD1
LNX2	liver	SOD1
TSPO2	bone marrow	MFF
LHFPL5	retina	MFF
LHFPL5	epididymis	MFF
LHFPL5	bone marrow	MFF
LHFPL5	skin	MFF
STAC3	testis	SOD1
STAC3	bone marrow	SOD1
STAC3	tongue	SOD1
STAC3	prostate	SOD1
STAC3	esophagus	SOD1
STAC3	salivary gland	SOD1
STAC3	skeletal muscle	SOD1
TMEM86B	duodenum	PEX11G, VAPA, MFF
TMEM86B	gallbladder	PEX11G, VAPA, MFF
TMEM86B	bone marrow	PEX11G, VAPA, MFF
TMEM86B	small intestine	PEX11G, VAPA, MFF
TMEM86B	liver	PEX11G, VAPA, MFF
FDCSP	tonsil	MFF
FDCSP	appendix	MFF
FDCSP	salivary gland	MFF
FDCSP	breast	MFF
FDCSP	lymph node	MFF
P4HA3	smooth muscle	ACOT8
CRACR2B	prostate	IDH1
CRACR2B	stomach	IDH1
CRACR2B	colon	IDH1
CRACR2B	salivary gland	IDH1
CRACR2B	pancreas	IDH1
CRACR2B	breast	IDH1
HID1	stomach	EHHADH
HID1	salivary gland	EHHADH
HID1	pancreas	EHHADH
ZSCAN1	pituitary gland	SOD1
ACTMAP	liver	AGXT
LYPD5	esophagus	EHHADH
LYPD5	skin	EHHADH
SEC14L4	liver	HAO2
CEP57L1	testis	IDH1
CEP57L1	parathyroid gland	IDH1
SCARA5	heart muscle	EHHADH
SCARA5	adipose tissue	EHHADH
SCARA5	urinary bladder	EHHADH
FAM78A	testis	PEX26
FAM78A	bone marrow	PEX26
FAM78A	tongue	PEX26
FAM78A	tonsil	PEX26
FAM78A	heart muscle	PEX26
FAM78A	appendix	PEX26
FAM78A	spleen	PEX26
FAM78A	lymph node	PEX26
FAM78A	skeletal muscle	PEX26
FAM78A	thymus	PEX26
TRARG1	adipose tissue	MFF
TRARG1	breast	MFF
ARL16	amygdala	VAPB, PEX26, SOD1
ARL16	cerebral cortex	VAPB, PEX26, SOD1
ARL16	hippocampal formation	VAPB, PEX26, SOD1
CLEC4G	cerebellum	PRDX1
CLEC4G	adipose tissue	PRDX1
CLEC4G	liver	PRDX1
CLEC4G	lymph node	PRDX1
ANKRD45	testis	PDIA6
ANKRD45	fallopian tube	PDIA6
LRRC66	duodenum	ACOX1
LRRC66	small intestine	ACOX1
NAT8L	cerebral cortex	PEX19
NAT8L	adipose tissue	PEX19
TSPAN33	liver	MFF
TSPAN33	kidney	MFF
ATXN1L	kidney	AGXT
ARHGAP40	epididymis	RHOA
ARHGAP40	skin	RHOA
SLC10A6	esophagus	FIS1, PEX16, ACSL5, CYB5R3
SLC10A6	skin	FIS1, PEX16, ACSL5, CYB5R3
SERINC2	salivary gland	MFF
SERINC2	liver	MFF
TRIM74	testis	PHYH
TRIM74	stomach	PHYH
INCA1	duodenum	HSPD1, MARF1, VIM
INCA1	testis	HSPD1, MARF1, VIM
INCA1	skeletal muscle	HSPD1, MARF1, VIM
SMIM1	testis	MFF, STING1
SMIM1	bone marrow	MFF, STING1
SMIM1	heart muscle	MFF, STING1
SMIM1	salivary gland	MFF, STING1
SMIM1	pituitary gland	MFF, STING1
SMIM1	kidney	MFF, STING1
NOTCH2NLA	liver	HSPD1, AGXT
INKA1	esophagus	PEX7
INKA1	skin	PEX7
INKA1	skeletal muscle	PEX7
INKA1	vagina	PEX7
C5orf46	salivary gland	PEX12
C5orf46	skin	PEX12
CCDC187	testis	VIM
C14orf180	heart muscle	MFF
C14orf180	choroid plexus	MFF
LIAT1	testis	HSPD1, VIM
LIAT1	cerebral cortex	HSPD1, VIM
LIAT1	basal ganglia	HSPD1, VIM
ZNF772	thyroid gland	PEX5
ZNF772	retina	PEX5
ZNF772	parathyroid gland	PEX5
RNASEK	pituitary gland	FIS1, VAPB
RNASEK	hypothalamus	FIS1, VAPB
RNASEK	choroid plexus	FIS1, VAPB
RNASEK	adrenal gland	FIS1, VAPB
RNASEK	kidney	FIS1, VAPB
ZNG1C	pancreas	PEX26
ZNG1C	liver	PEX26
ZNG1C	choroid plexus	PEX26
GIMAP6	spleen	SOD1
GIMAP6	lymph node	SOD1
CISD2	liver	EHHADH
CKMT1A	duodenum	DNM1L
CKMT1A	cerebellum	DNM1L
CKMT1A	colon	DNM1L
CKMT1A	esophagus	DNM1L
CKMT1A	rectum	DNM1L
CTXN3	kidney	MFF
SMIM5	esophagus	EHHADH
SMIM5	choroid plexus	EHHADH
SMIM5	kidney	EHHADH
TMPPE	bone marrow	FIS1
ZBTB8A	cervix	EHHADH, CCDC33, ACOT12
ZBTB8A	tongue	EHHADH, CCDC33, ACOT12
ZBTB8A	endometrium	EHHADH, CCDC33, ACOT12
ANXA8	esophagus	PEX1, SOD1
ANXA8	skin	PEX1, SOD1
NCF1	tonsil	CAV1
NCF1	appendix	CAV1
NCF1	small intestine	CAV1
NCF1	spleen	CAV1
NCF1	lymph node	CAV1
NCF1	lung	CAV1
ANXA8L1	esophagus	PEX1, SOD1
ANXA8L1	skin	PEX1, SOD1
ANXA8L1	vagina	PEX1, SOD1
STRIT1	tongue	MFF
STRIT1	basal ganglia	MFF
STRIT1	skeletal muscle	MFF
PTGES3L-AARSD1	tongue	CRAT
PTGES3L-AARSD1	skeletal muscle	CRAT
