InteractorA	InteractorB	FoundInScreen	FoundInCheng	proteinA	proteinB	class
5830	1962	Y	Y	PEX5	EHHADH	Both
5830	8443	N	Y	PEX5	GNPAT	Cheng
5830	8528	N	Y	PEX5	DDO	Cheng
5830	8540	Y	Y	PEX5	AGPS	Both
5830	10005	Y	Y	PEX5	ACOT8	Both
5830	10455	Y	Y	PEX5	ECI2	Both
5830	26061	Y	Y	PEX5	HACL1	Both
5830	26063	Y	Y	PEX5	DECR2	Both
5830	373156	Y	Y	PEX5	GSTK1	Both
5830	215	Y	N	PEX5	ABCD1	iBret only
5830	224	Y	N	PEX5	ALDH3A2	iBret only
5830	84188	Y	N	PEX5	FAR1	iBret only
5830	23417	Y	N	PEX5	MLYCD	iBret only
5830	5830	Y	N	PEX5	PEX5	iBret only
5830	5052	Y	N	PEX5	PRDX1	iBret only
5830	225	Y	N	PEX5	ABCD2	iBret only
5830	91452	Y	N	PEX5	ACBD5	iBret only
5830	23305	Y	N	PEX5	ACSL6	iBret only
5830	84896	Y	N	PEX5	ATAD1	iBret only
5830	54677	Y	N	PEX5	CROT	iBret only
5830	55711	Y	N	PEX5	FAR2	iBret only
5830	51024	Y	N	PEX5	FIS1	iBret only
5830	3417	Y	N	PEX5	IDH1	iBret only
5830	54996	Y	N	PEX5	MARC2	iBret only
5830	4598	Y	N	PEX5	MVK	iBret only
5830	6342	Y	N	PEX5	SCP2	iBret only
5830	10478	Y	N	PEX5	SLC25A17	iBret only
5830	11001	Y	N	PEX5	SLC27A2	iBret only
5830	6648	Y	N	PEX5	SOD2	iBret only
6342	3295	N	Y	SCP2	HSD17B4	Cheng
6342	1962	N	Y	SCP2	EHHADH	Cheng
6342	8540	N	Y	SCP2	AGPS	Cheng
6342	10455	N	Y	SCP2	ECI2	Cheng
6342	222659	Y	N	SCP2	PXT1	iBret only
6342	51024	Y	N	SCP2	FIS1	iBret only
6342	1891	Y	N	SCP2	ECH1	iBret only
6342	25824	Y	N	SCP2	PRDX5	iBret only
6342	6342	Y	N	SCP2	SCP2	iBret only
6647	5052	N	Y	SOD1	PRDX1	Cheng
6647	6647	Y	Y	SOD1	SOD1	Both
6647	6648	N	Y	SOD1	SOD2	Cheng
6647	25824	N	Y	SOD1	PRDX5	Cheng
6647	5826	Y	N	SOD1	ABCD4	iBret only
6648	6648	Y	Y	SOD2	SOD2	Both
8309	5830	Y	N	ACOX2	PEX5	iBret only
8309	5826	Y	N	ACOX2	ABCD4	iBret only
8309	10654	Y	N	ACOX2	PMVK	iBret only
8309	5824	Y	N	ACOX2	PEX19	iBret only
8310	5830	Y	N	ACOX3	PEX5	iBret only
8310	5824	Y	N	ACOX3	PEX19	iBret only
8443	8540	N	Y	GNPAT	AGPS	Cheng
8443	51024	Y	N	GNPAT	FIS1	iBret only
8504	55670	N	Y	PEX3	PEX26	Cheng
8504	1384	Y	N	PEX3	CRAT	iBret only
8528	8528	Y	N	DDO	DDO	iBret only
8799	5824	Y	Y	PEX11B	PEX19	Both
8799	8800	N	Y	PEX11B	PEX11A	Cheng
8799	5830	Y	N	PEX11B	PEX5	iBret only
8799	5052	Y	N	PEX11B	PRDX1	iBret only
8799	6647	Y	N	PEX11B	SOD1	iBret only
8799	91452	Y	N	PEX11B	ACBD5	iBret only
8799	8799	Y	N	PEX11B	PEX11B	iBret only
8799	92960	Y	N	PEX11B	PEX11G	iBret only
8799	55670	Y	N	PEX11B	PEX26	iBret only
8799	6648	Y	N	PEX11B	SOD2	iBret only
8800	5824	Y	Y	PEX11A	PEX19	Both
8800	26061	Y	N	PEX11A	HACL1	iBret only
9409	8504	Y	Y	PEX16	PEX3	Both
9409	224	Y	N	PEX16	ALDH3A2	iBret only
9409	5830	Y	N	PEX16	PEX5	iBret only
9409	51024	Y	N	PEX16	FIS1	iBret only
9409	9409	Y	N	PEX16	PEX16	iBret only
9409	55670	Y	N	PEX16	PEX26	iBret only
10005	641371	Y	N	ACOT8	ACOT1	iBret only
10005	10005	Y	N	ACOT8	ACOT8	iBret only
10059	51024	N	Y	DNM1L	FIS1	Cheng
10059	10059	Y	N	DNM1L	DNM1L	iBret only
10059	1891	Y	N	DNM1L	ECH1	iBret only
10455	1891	Y	Y	ECI2	ECH1	Both
10455	51024	Y	N	ECI2	FIS1	iBret only
