Interactor_A,Interactor_B,Symbol_A,Symbol_B
351,8883,351,8883
351,8894,351,8894
351,8930,351,8930
351,9039,351,9039
351,9118,351,9118
351,9217,351,VAPB
351,9330,351,9330
351,9377,351,9377
351,9445,351,9445
351,9479,351,9479
351,9784,351,9784
351,9839,351,9839
351,9856,351,9856
351,9857,351,9857
351,9922,351,9922
351,10048,351,10048
351,10096,351,10096
351,10130,351,PDIA6
351,10134,351,10134
351,10168,351,10168
351,10200,351,10200
351,10211,351,10211
351,10307,351,10307
351,10376,351,10376
351,10467,351,10467
351,10513,351,10513
351,10524,351,10524
351,10540,351,10540
351,10664,351,10664
351,10682,351,10682
351,10813,351,10813
351,10951,351,10951
351,10972,351,10972
351,10987,351,10987
351,11198,351,11198
351,11315,351,11315
351,22803,351,22803
351,22919,351,22919
351,22976,351,22976
351,23071,351,23071
351,23090,351,23090
351,23176,351,23176
351,23435,351,23435
351,23544,351,23544
351,23621,351,23621
351,23767,351,23767
351,25888,351,25888
351,26088,351,26088
351,26098,351,26098
351,26119,351,26119
351,26574,351,26574
351,26986,351,26986
351,26994,351,26994
351,29979,351,29979
351,30968,351,30968
351,51107,351,51107
351,51361,351,51361
351,51422,351,51422
351,51435,351,51435
351,51588,351,51588
351,51655,351,51655
351,53353,351,53353
351,53358,351,53358
351,54205,351,54205
351,54536,351,54536
351,54778,351,54778
351,54870,351,54870
351,55079,351,55079
351,55274,351,55274
351,55361,351,55361
351,55422,351,55422
351,55611,351,55611
351,55713,351,55713
351,55737,351,55737
351,55754,351,55754
351,55823,351,55823
351,55851,351,55851
351,55870,351,55870
351,55892,351,55892
351,55900,351,55900
351,56899,351,56899
351,57528,351,57528
351,57787,351,57787
351,58533,351,58533
351,63827,351,63827
351,63891,351,63891
351,64965,351,64965
351,65018,351,65018
351,65082,351,65082
351,80095,351,80095
351,80349,351,80349
351,81631,351,81631
351,83464,351,83464
351,83941,351,83941
351,84709,351,84709
351,84894,351,84894
351,84954,351,84954
351,114034,351,114034
351,114088,351,114088
351,114609,351,114609
351,140545,351,140545
351,147929,351,147929
351,147949,351,147949
351,162962,351,162962
351,168374,351,168374
351,196441,351,196441
