Interactor_A,Interactor_B,PI,HuInteractome,Symbol_A,Symbol_B
5830,23305,1.0,,PEX5,ACSL6
5830,84896,1.0,,PEX5,ATAD1
5830,1384,1.0,,PEX5,CRAT
5830,54677,1.0,,PEX5,CROT
5830,55711,1.0,,PEX5,FAR2
5830,51024,1.0,,PEX5,FIS1
5830,26061,1.0,,PEX5,HACL1
5830,3417,1.0,,PEX5,IDH1
5830,54996,1.0,,PEX5,MTARC2
5830,4598,1.0,,PEX5,MVK
5830,10478,1.0,,PEX5,SLC25A17
5830,11001,1.0,,PEX5,SLC27A2
6342,3295,,1.0,SCP2,HSD17B4
6342,222659,1.0,,SCP2,PXT1
6342,51024,1.0,,SCP2,FIS1
6342,1891,1.0,,SCP2,ECH1
6342,25824,1.0,,SCP2,PRDX5
6342,6342,1.0,,SCP2,SCP2
54996,1962,1.0,,MTARC2,EHHADH
54996,373156,1.0,,MTARC2,GSTK1
54996,4843,1.0,,MTARC2,NOS2
54996,847,1.0,,MTARC2,CAT
215,215,1.0,1.0,ABCD1,ABCD1
215,225,,1.0,ABCD1,ABCD2
215,11001,,1.0,ABCD1,SLC27A2
215,224,1.0,,ABCD1,ALDH3A2
215,1962,1.0,,ABCD1,EHHADH
215,84188,1.0,,ABCD1,FAR1
215,222659,1.0,,ABCD1,PXT1
215,10478,1.0,,ABCD1,SLC25A17
10455,51024,1.0,,ECI2,FIS1
10455,10654,1.0,,ECI2,PMVK
10455,1891,1.0,,ECI2,ECH1
10455,10455,1.0,,ECI2,ECI2
84188,224,1.0,,FAR1,ALDH3A2
84188,84188,1.0,,FAR1,FAR1
84188,55670,1.0,,FAR1,PEX26
3295,10654,1.0,,HSD17B4,PMVK
3295,641371,1.0,,HSD17B4,ACOT1
3295,3295,1.0,,HSD17B4,HSD17B4
3295,4598,1.0,,HSD17B4,MVK
224,91452,1.0,,ALDH3A2,ACBD5
224,224,1.0,,ALDH3A2,ALDH3A2
224,222659,1.0,,ALDH3A2,PXT1
224,51024,1.0,,ALDH3A2,FIS1
224,92960,1.0,,ALDH3A2,PEX11G
224,55670,1.0,,ALDH3A2,PEX26
225,51024,1.0,,ABCD2,FIS1
225,51179,1.0,,ABCD2,HAO2
25824,25824,,1.0,PRDX5,PRDX5
25824,51024,1.0,,PRDX5,FIS1
4843,4843,,1.0,NOS2,NOS2
4843,373156,1.0,,NOS2,GSTK1
4843,4598,1.0,,NOS2,MVK
4843,10654,1.0,,NOS2,PMVK
10478,51024,1.0,,SLC25A17,FIS1
11001,51024,1.0,,SLC27A2,FIS1
11001,92960,1.0,,SLC27A2,PEX11G
11001,3416,1.0,,SLC27A2,IDE
8443,51024,1.0,,GNPAT,FIS1
4358,94009,1.0,,MPV17,SERHL
